m_barabasi_albert,red_ratio,mafia_win_rate
11,0.36,0.61
11,0.37,0.64
11,0.38,0.68
11,0.39,0.74
11,0.4,0.64
11,0.41,0.75
11,0.42,0.67
11,0.43,0.65
11,0.44,0.65
11,0.45,0.61
11,0.46,0.67
11,0.47,0.61
11,0.48,0.66
11,0.49,0.63
11,0.5,0.6
11,0.51,0.6
11,0.52,0.69
11,0.53,0.56
11,0.54,0.64
11,0.55,0.56
11,0.56,0.74
11,0.57,0.64
11,0.58,0.57
11,0.59,0.61
11,0.6,0.54
11,0.61,0.6
11,0.62,0.63
11,0.63,0.48
11,0.64,0.59
11,0.65,0.53
11,0.66,0.63
11,0.67,0.63
11,0.68,0.56
11,0.69,0.66
11,0.7,0.59
11,0.71,0.61
11,0.72,0.58
11,0.73,0.54
11,0.74,0.54
11,0.75,0.56
11,0.76,0.53
11,0.77,0.51
11,0.78,0.53
11,0.79,0.57
11,0.8,0.54
11,0.81,0.56
11,0.82,0.58
11,0.83,0.5
11,0.84,0.46
11,0.85,0.5
11,0.86,0.46
11,0.87,0.51
11,0.88,0.52
11,0.89,0.52
11,0.9,0.45
11,0.91,0.41
11,0.92,0.4
11,0.93,0.5
11,0.94,0.39
11,0.95,0.43
11,0.96,0.44
11,0.97,0.43
11,0.98,0.47
11,0.99,0.47
11,1.0,0.46
12,0.01,0.54
12,0.02,0.58
12,0.03,0.66
12,0.04,0.52
12,0.05,0.62
12,0.06,0.63
12,0.07,0.59
12,0.08,0.61
12,0.09,0.65
12,0.1,0.7
12,0.11,0.74
12,0.12,0.6
12,0.13,0.62
12,0.14,0.69
12,0.15,0.66
12,0.16,0.63
12,0.17,0.59
12,0.18,0.67
12,0.19,0.62
12,0.2,0.69
12,0.21,0.66
12,0.22,0.66
12,0.23,0.67
12,0.24,0.76
12,0.25,0.72
12,0.26,0.77
12,0.27,0.65
12,0.28,0.62
12,0.29,0.66
12,0.3,0.65
12,0.31,0.73
12,0.32,0.7
12,0.33,0.74
12,0.34,0.68
12,0.35,0.63
12,0.36,0.7
12,0.37,0.76
12,0.38,0.63
12,0.39,0.68
12,0.4,0.74
12,0.41,0.65
12,0.42,0.58
12,0.43,0.62
12,0.44,0.69
12,0.45,0.69
12,0.46,0.69
12,0.47,0.63
12,0.48,0.67
12,0.49,0.57
12,0.5,0.64
12,0.51,0.68
12,0.52,0.58
12,0.53,0.69
12,0.54,0.68
12,0.55,0.66
12,0.56,0.68
12,0.57,0.63
12,0.58,0.7
12,0.59,0.63
12,0.6,0.59
12,0.61,0.64
12,0.62,0.67
12,0.63,0.67
12,0.64,0.61
12,0.65,0.68
12,0.66,0.65
12,0.67,0.66
12,0.68,0.62
12,0.69,0.59
12,0.7,0.43
12,0.71,0.62
12,0.72,0.47
12,0.73,0.54
12,0.74,0.56
12,0.75,0.56
12,0.76,0.51
12,0.77,0.52
12,0.78,0.48
12,0.79,0.46
12,0.8,0.5
12,0.81,0.56
12,0.82,0.49
12,0.83,0.56
12,0.84,0.46
12,0.85,0.43
12,0.86,0.48
12,0.87,0.44
12,0.88,0.48
12,0.89,0.51
12,0.9,0.41
12,0.91,0.43
12,0.92,0.51
12,0.93,0.38
12,0.94,0.44
12,0.95,0.53
12,0.96,0.52
12,0.97,0.43
12,0.98,0.4
12,0.99,0.47
12,1.0,0.41
13,0.01,0.66
13,0.02,0.66
13,0.03,0.74
13,0.04,0.64
13,0.05,0.6
13,0.06,0.56
13,0.07,0.66
13,0.08,0.65
13,0.09,0.61
13,0.1,0.74
13,0.11,0.68
13,0.12,0.69
13,0.13,0.7
13,0.14,0.72
13,0.15,0.61
13,0.16,0.64
13,0.17,0.62
13,0.18,0.59
13,0.19,0.69
13,0.2,0.69
13,0.21,0.74
13,0.22,0.7
13,0.23,0.75
13,0.24,0.61
13,0.25,0.68
13,0.26,0.7
13,0.27,0.64
13,0.28,0.7
13,0.29,0.68
13,0.3,0.63
13,0.31,0.69
13,0.32,0.71
13,0.33,0.68
13,0.34,0.71
13,0.35,0.76
13,0.36,0.7
13,0.37,0.62
13,0.38,0.66
13,0.39,0.7
13,0.4,0.67
13,0.41,0.75
13,0.42,0.64
13,0.43,0.73
13,0.44,0.71
13,0.45,0.68
13,0.46,0.7
13,0.47,0.7
13,0.48,0.67
13,0.49,0.72
13,0.5,0.69
13,0.51,0.73
13,0.52,0.7
13,0.53,0.57
13,0.54,0.77
13,0.55,0.63
13,0.56,0.73
13,0.57,0.69
13,0.58,0.64
13,0.59,0.71
13,0.6,0.61
13,0.61,0.57
13,0.62,0.7
13,0.63,0.65
13,0.64,0.65
13,0.65,0.59
13,0.66,0.68
13,0.67,0.58
13,0.68,0.67
13,0.69,0.58
